,pdb,emmap,source,q,clashscore,bond_outlier,angle_outlier,pucker_outlier,suite_outlier,avg_suitness,cc_volume,cc_mask,cc_peaks,tempy_mi,tempy_smoc
0,BtCoV_HKU5_shape_all_models_all_fits_FINAL_R3.out.10,BtCoV_HKU5_con4-7p29-cryosparc_P2_J371_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf4_librarySHAPE_scores.csv,0.1684923349565217,8.56,0.0,0.0047281323877068,0.044776119402985,0.1481481481481481,0.759,0.3645,0.3439,0.308,0.1176739520128837,0.8670827128369085
1,BtCoV_HKU5_shape_all_models_all_fits_FINAL_R3.out.4,BtCoV_HKU5_con4-7p29-cryosparc_P2_J371_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf4_librarySHAPE_scores.csv,0.171930200347826,6.71,0.0,0.0,0.0223880597014925,0.1703703703703703,0.765,0.359,0.3365,0.303,0.1179650557547049,0.868382990858511
2,BtCoV_HKU5_shape_all_models_all_fits_FINAL_R3.out.2,BtCoV_HKU5_con4-7p29-cryosparc_P2_J371_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf4_librarySHAPE_scores.csv,0.1715755422608695,9.72,0.0,0.0037149611617696,0.044776119402985,0.1777777777777777,0.757,0.3624,0.3371,0.3136,0.1191239095519401,0.8744327857480281
3,BtCoV_HKU5_shape_all_models_all_fits_FINAL_R3.out.6,BtCoV_HKU5_con4-7p29-cryosparc_P2_J371_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf4_librarySHAPE_scores.csv,0.1700729029565217,5.09,0.0,0.000337723741979,0.0074626865671641,0.1629629629629629,0.735,0.3596,0.3391,0.3128,0.11599572888905,0.8685875198843626
4,BtCoV_HKU5_shape_all_models_all_fits_FINAL_R3.out.1,BtCoV_HKU5_con4-7p29-cryosparc_P2_J371_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf4_librarySHAPE_scores.csv,0.1705038591304347,5.09,0.0,0.0020263424518743,0.0149253731343283,0.1629629629629629,0.775,0.3581,0.3334,0.3067,0.118289189304016,0.8706721242484404
5,BtCoV_HKU5_shape_all_models_all_fits_FINAL_R3.out.5,BtCoV_HKU5_con4-7p29-cryosparc_P2_J371_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf4_librarySHAPE_scores.csv,0.1684981704347826,9.25,0.0005305039787798,0.005741303613644,0.0522388059701492,0.1925925925925926,0.772,0.3596,0.342,0.3256,0.1181230991578683,0.8716055740322728
6,BtCoV_HKU5_shape_all_models_all_fits_FINAL_R3.out.9,BtCoV_HKU5_con4-7p29-cryosparc_P2_J371_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf4_librarySHAPE_scores.csv,0.168479088347826,9.48,0.0005305039787798,0.0006754474839581,0.0223880597014925,0.1333333333333333,0.742,0.3406,0.3207,0.2899,0.1182357363751114,0.8612822396033034
7,BtCoV_HKU5_shape_all_models_all_fits_FINAL_R3.out.3,BtCoV_HKU5_con4-7p29-cryosparc_P2_J371_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf4_librarySHAPE_scores.csv,0.1732407078260869,7.4,0.0,0.0040526849037487,0.0223880597014925,0.1481481481481481,0.745,0.3523,0.3301,0.3077,0.1184431980217776,0.8736704508800702
8,BtCoV_HKU5_shape_all_models_all_fits_FINAL_R3.out.8,BtCoV_HKU5_con4-7p29-cryosparc_P2_J371_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf4_librarySHAPE_scores.csv,0.170083936,10.41,0.0005305039787798,0.0023640661938534,0.0373134328358208,0.1777777777777777,0.761,0.3435,0.3214,0.3052,0.1185519006984555,0.8744115390865059
9,BtCoV_HKU5_shape_all_models_all_fits_FINAL_R3.out.7,BtCoV_HKU5_con4-7p29-cryosparc_P2_J371_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf4_librarySHAPE_scores.csv,0.1733935213913043,9.48,0.0,0.0040526849037487,0.0149253731343283,0.1629629629629629,0.773,0.3506,0.3309,0.2992,0.1158076563937162,0.8676007795564653
10,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.10.pdbFINISHED_1,BtCoV_HKU5_con1-5p93-cryosparc_P2_J362_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_BtCoV-HKU5_conf1_icSHAPE_scores.csv,0.2400034365217391,0.46,0.0,0.0,0.0074626865671641,0.0888888888888888,0.815,0.4632,0.4624,0.4471,0.1109821844989402,0.8636487679905404
11,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.4.pdbFINISHED_1,BtCoV_HKU5_con1-5p93-cryosparc_P2_J362_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_BtCoV-HKU5_conf1_icSHAPE_scores.csv,0.2431062918260869,0.46,0.0,0.0,0.0074626865671641,0.0518518518518518,0.817,0.4953,0.5229,0.4873,0.1116202995072098,0.865574235026654
12,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.8.pdbFINISHED_1,BtCoV_HKU5_con1-5p93-cryosparc_P2_J362_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_BtCoV-HKU5_conf1_icSHAPE_scores.csv,0.2409985582608695,0.23,0.0,0.0,0.0074626865671641,0.0592592592592592,0.842,0.5181,0.5341,0.4929,0.1108900925814603,0.8650806396555667
13,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.9.pdbFINISHED_1,BtCoV_HKU5_con1-5p93-cryosparc_P2_J362_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_BtCoV-HKU5_conf1_icSHAPE_scores.csv,0.2380558820869565,0.23,0.0,0.0,0.0074626865671641,0.0592592592592592,0.82,0.4944,0.5157,0.4851,0.111001478451733,0.8645146324628693
14,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.7.pdbFINISHED_1,BtCoV_HKU5_con1-5p93-cryosparc_P2_J362_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_BtCoV-HKU5_conf1_icSHAPE_scores.csv,0.2352008963478261,0.23,0.0,0.0,0.0074626865671641,0.0814814814814814,0.809,0.4817,0.5015,0.4805,0.1109206239852936,0.8641886990708044
15,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.6.pdbFINISHED_1,BtCoV_HKU5_con1-5p93-cryosparc_P2_J362_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_BtCoV-HKU5_conf1_icSHAPE_scores.csv,0.2415465544347826,0.23,0.0,0.0,0.0074626865671641,0.0592592592592592,0.838,0.5149,0.525,0.484,0.1108248137284872,0.8672183680998805
16,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.5.pdbFINISHED_1,BtCoV_HKU5_con1-5p93-cryosparc_P2_J362_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_BtCoV-HKU5_conf1_icSHAPE_scores.csv,0.2336286358260869,0.46,0.0,0.0,0.0074626865671641,0.074074074074074,0.853,0.4683,0.469,0.4468,0.1099061551039171,0.8641848482804578
17,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.1.pdbFINISHED_1,BtCoV_HKU5_con1-5p93-cryosparc_P2_J362_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_BtCoV-HKU5_conf1_icSHAPE_scores.csv,0.2440306382608695,0.23,0.0,0.0,0.0074626865671641,0.0592592592592592,0.839,0.471,0.4778,0.4578,0.1114928714786431,0.8661795975175546
18,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.2.pdbFINISHED_1,BtCoV_HKU5_con1-5p93-cryosparc_P2_J362_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_BtCoV-HKU5_conf1_icSHAPE_scores.csv,0.2354041453913043,0.46,0.0,0.0,0.0074626865671641,0.0666666666666666,0.817,0.4718,0.5004,0.4698,0.1110320479576452,0.8605944012734851
19,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.3.pdbFINISHED_1,BtCoV_HKU5_con1-5p93-cryosparc_P2_J362_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_BtCoV-HKU5_conf1_icSHAPE_scores.csv,0.2415894598260869,0.46,0.0,0.0,0.0074626865671641,0.0592592592592592,0.823,0.4668,0.4677,0.4486,0.1115157153429221,0.8695587871666781
20,HCoV_229E_manual_all_models_all_fits_FINAL_R3.out.10.pdbFINISHED_1,HCoV_229E-6p48-cryosparc_P3_J880_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_HCoV-229E_manual_scores.csv,0.2163992089098886,0.22,0.0,0.0,0.0,0.0571428571428571,0.854,0.5932,0.5891,0.5785,0.027760929057233,0.909774317288321
21,HCoV_229E_manual_all_models_all_fits_FINAL_R3.out.8.pdbFINISHED_1,HCoV_229E-6p48-cryosparc_P3_J880_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_HCoV-229E_manual_scores.csv,0.2213585244684441,0.22,0.0,0.0,0.0,0.0071428571428571,0.881,0.6268,0.6337,0.615,0.0279865394930413,0.9105644017853144
22,HCoV_229E_manual_all_models_all_fits_FINAL_R3.out.2.pdbFINISHED_1,HCoV_229E-6p48-cryosparc_P3_J880_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_HCoV-229E_manual_scores.csv,0.2231799318258522,0.45,0.0,0.0,0.0,0.0357142857142857,0.86,0.5933,0.5826,0.5808,0.0278915212564338,0.9141555946358778
23,HCoV_229E_manual_all_models_all_fits_FINAL_R3.out.3.pdbFINISHED_1,HCoV_229E-6p48-cryosparc_P3_J880_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_HCoV-229E_manual_scores.csv,0.2203253536955787,0.0,0.0,0.0,0.0,0.05,0.827,0.5914,0.5762,0.5781,0.0278073691116463,0.914290160803534
24,HCoV_229E_manual_all_models_all_fits_FINAL_R3.out.7.pdbFINISHED_1,HCoV_229E-6p48-cryosparc_P3_J880_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_HCoV-229E_manual_scores.csv,0.2242406662166722,0.0,0.0,0.0,0.0,0.0357142857142857,0.875,0.6189,0.6173,0.6037,0.0277160319635301,0.9111278717655272
25,HCoV_229E_manual_all_models_all_fits_FINAL_R3.out.6.pdbFINISHED_1,HCoV_229E-6p48-cryosparc_P3_J880_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_HCoV-229E_manual_scores.csv,0.2205311856226797,0.0,0.0,0.0,0.0,0.0214285714285714,0.876,0.5838,0.5496,0.5612,0.0276960166900852,0.9130752754505648
26,HCoV_229E_manual_all_models_all_fits_FINAL_R3.out.9.pdbFINISHED_1,HCoV_229E-6p48-cryosparc_P3_J880_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_HCoV-229E_manual_scores.csv,0.2169151748228147,0.0,0.0,0.0,0.0,0.0285714285714285,0.846,0.5763,0.5749,0.5643,0.0277664536960533,0.9062217829880128
27,HCoV_229E_manual_all_models_all_fits_FINAL_R3.out.4.pdbFINISHED_1,HCoV_229E-6p48-cryosparc_P3_J880_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_HCoV-229E_manual_scores.csv,0.2156635676679041,0.0,0.0,0.0,0.0,0.0357142857142857,0.86,0.6064,0.6065,0.59,0.0278371182502734,0.9077840673605428
28,HCoV_229E_manual_all_models_all_fits_FINAL_R3.out.5.pdbFINISHED_1,HCoV_229E-6p48-cryosparc_P3_J880_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_HCoV-229E_manual_scores.csv,0.2215917725278434,0.22,0.0,0.0,0.0,0.0285714285714285,0.845,0.6244,0.6228,0.6048,0.0275998702250477,0.9101051777502424
29,HCoV_229E_manual_all_models_all_fits_FINAL_R3.out.1.pdbFINISHED_1,HCoV_229E-6p48-cryosparc_P3_J880_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_HCoV-229E_manual_scores.csv,0.218536847114411,0.45,0.0,0.0,0.0,0.0214285714285714,0.84,0.6118,0.6124,0.5996,0.0276554606678142,0.912979060717717
30,SARS_CoV_2-SL56_5bext_SL5only_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.10,SARS_CoV_2_SL56_5bext-7p40-flipped-cryosparc_P3_J1278_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_SARS-CoV-2_SL56-5bext_icSHAPE_scores.csv,0.210785245916795,8.39,0.0,0.0002978850163836,0.0263157894736842,0.1437908496732026,0.769,0.4509,0.4453,0.3756,0.0194506508665613,0.917014990120868
